symbol,stage,detail
REDINGTON,S1_base_short,base 3d — rolling high
RIR,S1_off_high,closed 6.8% off day high
RISHABH,S1_base_short,base 5d — rolling high
RITCO,S1_off_high,closed 3.4% off day high
RML,S1_base_short,base 3d — rolling high
ROLLT,S0_series,BE
ROSSTECH,S1_red_close,-0.48% on the day
RSL,S1_base_short,base 3d — rolling high
RUBYMILLS,S1_off_high,closed 9.8% off day high
SAB,S1_base_short,base 3d — rolling high
SACHEEROME,S0_series,SM
SAHYADRI,S1_base_short,base 3d — rolling high
SAKAR,S1_base_short,base 5d — rolling high
SBC,S1_base_short,base 3d — rolling high
SEAMECLTD,S1_red_close,-1.01% on the day
SEL,S0_series,SM
SETL,S1_red_close,-4.99% on the day
SGRL,S1_base_short,base 3d — rolling high
SHANTIGEAR,S1_base_short,base 3d — rolling high
SHANTIINOR,S0_series,ST
SHILPAMED,S1_red_close,-2.30% on the day
SHREEJISPG,S1_base_short,base 3d — rolling high
SHREEPUSHK,S1_base_short,base 7d — rolling high
SILKFLEX,S0_series,SM
SIMPLXREA,S0_turnover,Rs 0.0 cr
SKIPPER,S1_base_short,base 3d — rolling high
SML100CASE,S0_fund,ETF/index fund
SMLMAH,S1_base_short,base 3d — rolling high
SOLARINDS,S1_base_short,base 3d — rolling high
SOTL,S1_red_close,-3.88% on the day
SSWL,S1_off_high,closed 3.4% off day high
STLSTRINF,S1_red_close,-3.53% on the day
STLTECH,S0_series,BE
SUDEEPPHRM,S1_red_close,-0.44% on the day
SUNSHINE,S1_base_short,base 3d — rolling high
SUTLEJTEX,S0_series,BE
TAMBOLIIN,S0_series,BE
TBZ,S1_base_short,base 3d — rolling high
TECHNOCRAF,S1_base_short,base 4d — rolling high
TERAI,S1_off_high,closed 6.4% off day high
TEXINFRA,S1_base_short,base 4d — rolling high
TIJARIA,S0_series,BE
TMB,S1_base_short,base 3d — rolling high
UDAYJEW,S1_off_high,closed 3.8% off day high
USHAFIN,S0_series,SM
VALIANTLAB,S0_series,BE
VASUPRADA,S1_off_high,closed 3.0% off day high
VHLTD-RE1,S0_series,BE
VILINBIO,S0_series,SM
VINDHYATEL,S1_off_high,closed 5.9% off day high
VISHNU,S1_base_short,base 3d — rolling high
VIVIDEL,S0_series,SM
WELSPUNLIV,S1_base_short,base 3d — rolling high
WINDLAS,S1_base_short,base 3d — rolling high
WSTCSTPAPR,S1_base_short,base 3d — rolling high
XTRANET,S1_base_short,base 3d — rolling high
BNKETFAXIS,S0_fund,ETF/index fund
ANDHRAPAP,S1_off_high,closed 5.7% off day high
PASHUPATI,S1_red_close,-0.60% on the day
HAMPTON,S0_turnover,Rs 0.3 cr
KDGREEN,S0_turnover,Rs 2.1 cr
SBIETFIT,S0_fund,ETF/index fund
MOMENTUM30,S0_fund,ETF/index fund
MITTAL,S0_turnover,Rs 1.1 cr
PKTEA,S0_turnover,Rs 1.3 cr
ALKALI,S0_turnover,Rs 0.6 cr
DBEIL,S0_turnover,Rs 2.5 cr
RADHIKAJWE,S1_off_high,closed 4.5% off day high
BAIDFIN,S0_turnover,Rs 0.2 cr
MENNPIS,S2_data,DATA UNAVAILABLE (15 bars)
SREEL,S0_turnover,Rs 2.0 cr
SWARNSAR,S2_data,DATA UNAVAILABLE (15 bars)
TEXMOPIPES,S2_no_new_high,day high 55.47 < 52w high 62.00
CHEMPLASTS,S1_off_high,closed 5.8% off day high
SIGNPOST,S1_off_high,closed 5.4% off day high
THEMISMED,S1_off_high,closed 5.4% off day high
MERCURYEV,S2_data,DATA UNAVAILABLE (70 bars)
ZYDUSWELL,S1_off_high,closed 4.4% off day high
GNRL,S2_data,DATA UNAVAILABLE (15 bars)
PDMJEPAPER,S1_off_high,closed 6.9% off day high
RPPINFRA,S2_no_new_high,day high 54.99 < 52w high 158.90
TALBROAUTO,S2_no_new_high,day high 441.85 < 52w high 451.60
PCJEWELLER,S2_no_new_high,day high 14.08 < 52w high 15.38
ANUHPHR,S2_no_new_high,day high 91.80 < 52w high 93.00
