symbol,stage,detail
MODEFENCE,S0_fund,ETF/index fund
MONOLITH,S0_series,SM
MONQ50,S0_fund,ETF/index fund
MOREPENLAB,S1_base_short,base 3d — rolling high
MUNJALAU,S1_red_close,-0.44% on the day
NELCO,S1_off_high,closed 3.2% off day high
NEULANDLAB,S1_base_short,base 3d — rolling high
NRBBEARING,S1_base_short,base 6d — rolling high
OPTIMYSTIX,S0_series,ST
OPTIVALUE,S0_series,ST
PANACHE,S0_series,BE
PATILAUTOM,S0_series,SM
PITTIENG,S1_red_close,-1.10% on the day
PRICOLLTD,S1_base_short,base 3d — rolling high
QMSMEDI,S1_base_short,base 4d — rolling high
RADICO,S1_base_short,base 4d — rolling high
RATNAVEER,S1_base_short,base 3d — rolling high
ROSSTECH,S1_off_high,closed 3.5% off day high
ROXHITECH,S0_series,SM
RUBICON,S1_base_short,base 6d — rolling high
SACHEEROME,S0_series,SM
SAHYADRI,S1_off_high,closed 3.5% off day high
SANGINITA,S0_series,BE
SEDEMAC,S1_base_short,base 3d — rolling high
SENORES,S1_base_short,base 4d — rolling high
SETL,S1_base_short,base 5d — rolling high
SHALPAINTS,S0_series,BE
SHANTI-RE,S0_series,BE
SHUKRAPHAR,S1_off_high,closed 6.5% off day high
SUNDRMBRAK,S0_series,BE
TAMBOLIIN,S0_series,BE
TAURIAN,S0_series,SM
TCL,S0_series,SM
TDPOWERSYS,S1_base_short,base 5d — rolling high
TFCILTD,S1_off_high,closed 4.4% off day high
TURTLEMINT,S1_off_high,closed 4.1% off day high
UCAL,S1_off_high,closed 4.8% off day high
UGARSUGAR,S1_base_short,base 3d — rolling high
UNIVASTU,S0_series,BE
UTLSOLAR,S1_base_short,base 3d — rolling high
VARROC,S1_red_close,-0.34% on the day
VERA,S0_series,SM
VINYAS,S0_series,SM
VIVIDEL,S0_series,ST
VIVO,S0_series,ST
VSSL,S1_off_high,closed 3.4% off day high
MODTHREAD,S0_turnover,Rs 1.1 cr
GROWWCHEM,S0_fund,ETF/index fund
PKTEA,S0_turnover,Rs 0.7 cr
ABSLMSCIN,S0_fund,ETF/index fund
MOTOUR,S0_fund,ETF/index fund
ORICONENT,S0_turnover,Rs 2.5 cr
ZAGGLE,S1_red_close,-20.00% on the day
MOENERGY,S0_fund,ETF/index fund
MOSERVICE,S0_fund,ETF/index fund
VASWANI,S0_turnover,Rs 0.9 cr
HINDADH,S0_turnover,Rs 0.2 cr
TPHQ,S0_turnover,Rs 0.3 cr
DHATRE,S0_turnover,Rs 0.0 cr
SHERVANI,S0_turnover,Rs 0.0 cr
SUMEDHA,S0_turnover,Rs 0.0 cr
KAYA,S1_off_high,closed 4.0% off day high
LATTEYS,S0_turnover,Rs 1.5 cr
GKSL,S2_data,DATA UNAVAILABLE (157 bars)
LASERPOWER,S2_data,DATA UNAVAILABLE (22 bars)
MOLBIO,S2_data,DATA UNAVAILABLE (1 bars)
SHADOWFAX,S2_data,DATA UNAVAILABLE (138 bars)
SREEL,S0_turnover,Rs 3.0 cr
EXPLEOSOL,S2_no_new_high,day high 945.90 < 52w high 1175.10
PURVA,S1_off_high,closed 7.8% off day high
UFLEX,S2_no_new_high,day high 586.05 < 52w high 602.80
PAKKA,S2_no_new_high,day high 89.28 < 52w high 194.61
VIKRAMSOLR,S2_data,DATA UNAVAILABLE (243 bars)
PWL,S2_data,DATA UNAVAILABLE (187 bars)
OSWALSEEDS,S1_off_high,closed 6.3% off day high
KHAICHEM,S2_no_new_high,day high 60.50 < 52w high 135.80
