symbol,stage,detail
MOHEALTH,S0_fund,ETF/index fund
MONQ50,S0_fund,ETF/index fund
MOREPENLAB,S1_off_high,closed 3.7% off day high
MPIMANIPAL,S1_red_close,-1.85% on the day
NEOGEN,S1_red_close,-5.00% on the day
NRBBEARING,S1_red_close,-0.11% on the day
NRL,S0_series,BE
OAL,S1_base_short,base 6d — rolling high
OPTIVALUE,S0_series,ST
PAISALO,S1_base_short,base 4d — rolling high
PCCL,S0_series,SM
PVRINOX,S1_base_short,base 3d — rolling high
QMSMEDI,S0_series,BE
QUINT,S1_base_short,base 3d — rolling high
RAMBHAJO,S1_base_short,base 3d — rolling high
RATNAVEER,S1_base_short,base 3d — rolling high
ROLLT,S0_series,BE
RRECL,S1_red_close,-0.06% on the day
RSL,S1_base_short,base 6d — rolling high
SAAKSHI,S0_series,ST
SAKAR,S1_red_close,-1.34% on the day
SAMBHV,S1_off_high,closed 4.1% off day high
SANSERA,S1_base_short,base 3d — rolling high
SBC,S1_red_close,-0.08% on the day
SGRL,S1_off_high,closed 3.1% off day high
SHILPAMED,S1_base_short,base 3d — rolling high
SHREEDHAR,S0_series,ST
SHYAMMETL,S1_red_close,-0.45% on the day
SIGMAADV,S0_series,BE
SKYWAYS,S1_off_high,closed 7.8% off day high
SOFTTECH,S1_red_close,-0.89% on the day
SOMANYCERA,S1_base_short,base 3d — rolling high
SPECTRUM,S0_series,BE
STEAMHOUSE,S1_base_short,base 3d — rolling high
STLNETWORK,S1_base_short,base 3d — rolling high
SURAKSHA,S1_off_high,closed 3.1% off day high
SVGLOBAL,S0_turnover,Rs 1.7 cr
TAALTECH,S1_base_short,base 6d — rolling high
TALBROAUTO,S1_red_close,-2.09% on the day
TBZ,S1_base_short,base 3d — rolling high
TOYAMSL,S1_base_short,base 3d — rolling high
VALIANTORG,S1_red_close,-1.32% on the day
VENUSPIPES,S1_red_close,-2.75% on the day
WELENT,S1_red_close,-4.42% on the day
WELSPUNLIV,S1_base_short,base 3d — rolling high
WSTCSTPAPR,S1_red_close,-1.47% on the day
XTRANET,S1_base_short,base 3d — rolling high
BANK10ADD,S0_fund,ETF/index fund
TARSONS,S1_off_high,closed 3.2% off day high
CROWN,S0_turnover,Rs 3.5 cr
ITADD,S0_fund,ETF/index fund
GAJA,S1_off_high,closed 3.8% off day high
CONS,S0_fund,ETF/index fund
ASHIANA,S1_off_high,closed 3.4% off day high
ARCHIES,S0_turnover,Rs 0.2 cr
ARVEE,S0_turnover,Rs 1.2 cr
SHANTI,S0_turnover,Rs 0.2 cr
ALKALI,S1_off_high,closed 4.5% off day high
ANURAS,S1_red_close,-4.72% on the day
SURAJEST,S1_off_high,closed 3.1% off day high
KPL,S2_data,DATA UNAVAILABLE (24 bars)
PANORAMA,S2_data,DATA UNAVAILABLE (24 bars)
SHADOWFAX,S2_data,DATA UNAVAILABLE (164 bars)
PROTEAN,S2_no_new_high,day high 588.35 < 52w high 939.80
SUNDROP,S2_no_new_high,day high 714.40 < 52w high 874.00
STUDDS,S2_data,DATA UNAVAILABLE (220 bars)
KPIGREEN,S2_no_new_high,day high 324.70 < 52w high 542.25
REFEX,S2_no_new_high,day high 297.00 < 52w high 415.00
TANAA,S2_data,DATA UNAVAILABLE (24 bars)
ISGEC,S2_no_new_high,day high 858.80 < 52w high 1113.90
JPPOWER,S1_off_high,closed 5.8% off day high
CARBORUNIV,S1_off_high,closed 4.1% off day high
COHANCE,S1_off_high,closed 4.5% off day high
FACT,S2_no_new_high,day high 822.35 < 52w high 1058.60
ZOTA,S2_no_new_high,day high 1324.40 < 52w high 1740.00
JAYKAY,S2_data,DATA UNAVAILABLE (202 bars)
RAYMOND,S2_no_new_high,day high 1120.00 < 52w high 1122.00
KANOHAR,S2_data,DATA UNAVAILABLE (4 bars)
