symbol,stage,detail
KODYTECH,S0_series,ST
KSHITIJ-RE,S0_series,BE
LALITHAA,S1_off_high,closed 5.6% off day high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LUMAXTECH,S1_red_close,-1.61% on the day
MADHURKNIT,S0_series,ST
MAFANG,S0_fund,ETF/index fund
MAHASTEEL,S0_series,BE
MANAKSTEEL,S1_base_short,base 1d — rolling high
MANALIPETC,S1_off_high,closed 3.5% off day high
MANGLMCEM,S1_off_high,closed 3.0% off day high
MARC,S0_series,SM
MARINE,S1_base_short,base 4d — rolling high
MBECL,S0_series,BE
MENONBE,S0_series,BE
MIDQ50ADD,S0_fund,ETF/index fund
MIDSELIETF,S0_fund,ETF/index fund
MINALIND,S0_series,BE
MODISONLTD,S1_base_short,base 1d — rolling high
MOHITE,S1_red_close,-4.63% on the day
MOREPENLAB,S1_red_close,-2.53% on the day
OMAXE,S1_off_high,closed 5.6% off day high
ORIENTBELL,S1_red_close,-0.10% on the day
PARNAXLAB,S1_base_short,base 1d — rolling high
PATILAUTOM,S0_series,SM
PTCIL,S1_base_short,base 1d — rolling high
PVP,S1_red_close,-4.99% on the day
QMSMEDI,S0_series,BE
QUAL30IETF,S0_fund,ETF/index fund
RSL,S1_red_close,-0.09% on the day
SAILIFE,S1_base_short,base 4d — rolling high
SANSERA,S1_red_close,-2.44% on the day
SETL,S1_base_short,base 1d — rolling high
SGRL,S1_base_short,base 1d — rolling high
SHETHJI,S0_series,SM
SHILPAMED,S1_red_close,-5.88% on the day
SKFINDUS,S1_red_close,-1.62% on the day
SKYWAYS,S1_off_high,closed 8.1% off day high
SONAMLTD,S1_red_close,-9.42% on the day
SRIKPRIND,S0_turnover,Rs 0.2 cr
SSWL,S1_off_high,closed 4.0% off day high
SUDEEPPHRM,S1_base_short,base 1d — rolling high
SUNLOC,S1_red_close,-2.17% on the day
SUPTANERY,S0_series,BE
SUTLEJTEX,S0_series,BE
SUVEN,S1_red_close,-2.60% on the day
SYMBIOTEC,S1_off_high,closed 7.3% off day high
TANKUP,S0_series,ST
TBZ,S1_base_short,base 5d — rolling high
TERAI,S0_turnover,Rs 0.0 cr
TRANSPEK,S0_series,BE
TVSSRICHAK,S1_off_high,closed 4.1% off day high
UNIPARTS,S1_base_short,base 1d — rolling high
VADILENT,S1_red_close,-2.70% on the day
VINDHYATEL,S1_off_high,closed 4.7% off day high
WELCORP,S1_base_short,base 4d — rolling high
WELENT,S1_base_short,base 6d — rolling high
WELSPUNLIV,S1_base_short,base 1d — rolling high
MUKESHB,S1_red_close,-1.12% on the day
MOQUALITY,S0_fund,ETF/index fund
MONEXT50,S0_fund,ETF/index fund
MOGSEC,S0_fund,ETF/index fund
MOLOWVOL,S0_fund,ETF/index fund
ICDSLTD,S0_turnover,Rs 0.2 cr
SOTL,S1_off_high,closed 3.5% off day high
EPL,S1_red_close,-8.47% on the day
MOM50,S0_fund,ETF/index fund
SAHLIBHFI,S0_turnover,Rs 4.6 cr
MERCANTILE,S0_turnover,Rs 0.3 cr
SINTERCOM,S0_turnover,Rs 0.4 cr
SBIVALETF,S0_fund,ETF/index fund
AEPL,S0_turnover,Rs 1.5 cr
SHYAMTEL,S0_turnover,Rs 0.2 cr
GSEC10IETF,S0_fund,ETF/index fund
RBZJEWEL,S1_off_high,closed 5.3% off day high
TIJARIA,S0_turnover,Rs 0.1 cr
PRAENG,S0_turnover,Rs 1.3 cr
DUCON,S0_turnover,Rs 0.3 cr
AKI,S0_turnover,Rs 0.5 cr
PAUSHAKLTD,S2_data,DATA UNAVAILABLE (189 bars)
VTL,S1_off_high,closed 5.6% off day high
JINDALPOLY,S2_no_new_high,day high 694.45 < 52w high 1026.45
