symbol,stage,detail
SKFINDIA,S1_red_close,-0.40% on the day
ALKALI,S0_turnover,Rs 1.1 cr
SVGLOBAL,S0_turnover,Rs 0.1 cr
GLOBE,S0_turnover,Rs 0.5 cr
JETFREIGHT,S0_fund,ETF/index fund
NGIL,S0_turnover,Rs 0.1 cr
ALUFLUOR,S2_data,DATA UNAVAILABLE (23 bars)
CSM,S2_data,DATA UNAVAILABLE (57 bars)
GRAUWEIL,S2_data,DATA UNAVAILABLE (112 bars)
MKEXIM,S2_data,DATA UNAVAILABLE (23 bars)
TIMEX,S2_data,DATA UNAVAILABLE (106 bars)
ATGL,S2_no_new_high,day high 674.80 < 52w high 859.85
BBTC,S2_no_new_high,day high 1534.20 < 52w high 2135.00
SKYWAYS,S2_data,DATA UNAVAILABLE (14 bars)
GPTINFRA,S1_off_high,closed 3.5% off day high
HAZOOR,S2_data,DATA UNAVAILABLE (20 bars)
CENTRALBK,S2_no_new_high,day high 32.40 < 52w high 40.92
LUXIND,S2_no_new_high,day high 1169.90 < 52w high 1823.35
POONAWALLA,S2_no_new_high,day high 492.00 < 52w high 570.40
DPABHUSHAN,S2_no_new_high,day high 1482.00 < 52w high 1670.00
