symbol,stage,detail
MOMETAL,S0_fund,ETF/index fund
MONOLITH,S0_series,SM
MOREPENLAB,S1_red_close,-0.65% on the day
NICCOPAR,S1_base_short,base 1d — rolling high
NILKAMAL,S1_red_close,-0.58% on the day
OAL,S1_base_short,base 1d — rolling high
OMAXE,S1_base_short,base 1d — rolling high
PCCL,S0_series,SM
PREMIERPOL,S1_base_short,base 8d — rolling high
PRUDENT,S1_base_short,base 7d — rolling high
PVP,S1_base_short,base 1d — rolling high
QMSMEDI,S0_series,BE
RAMBHAJO,S1_off_high,closed 6.7% off day high
RAMRAT,S1_base_short,base 1d — rolling high
RATNAVEER,S1_base_short,base 1d — rolling high
ROLLT,S0_series,BE
ROSSELLIND,S1_red_close,-8.13% on the day
RPEL,S1_base_short,base 1d — rolling high
RSL,S1_base_short,base 2d — rolling high
RUBICON,S1_base_short,base 1d — rolling high
SAILIFE,S1_base_short,base 6d — rolling high
SERVICE,S0_series,SM
SETL,S1_base_short,base 1d — rolling high
SHEETAL,S0_series,SM
SHILPAMED,S1_base_short,base 2d — rolling high
SHREEPUSHK,S1_red_close,-0.48% on the day
SHRIAHIMSA,S0_series,ST
SIGMAADV,S0_series,BE
SILKFLEX,S0_series,SM
SMALLGROWW,S0_fund,ETF/index fund
SOLARINDS,S1_base_short,base 9d — rolling high
SOMANYCERA,S1_red_close,-0.62% on the day
SPELS,S1_base_short,base 10d — rolling high
STLTECH,S0_series,BE
SUPTANERY,S0_series,BE
TBZ,S1_red_close,-0.92% on the day
TECHNOCRAF,S1_off_high,closed 3.7% off day high
TFCILTD,S1_off_high,closed 3.0% off day high
TUTIALKA,S1_red_close,-0.20% on the day
UFLEX,S1_red_close,-2.70% on the day
VINSYS,S0_series,ST
VTMLTD,S1_base_short,base 1d — rolling high
WELCORP,S1_base_short,base 2d — rolling high
YATHARTH,S1_base_short,base 1d — rolling high
GSEC10ADD,S0_fund,ETF/index fund
BANK10ADD,S0_fund,ETF/index fund
WEL,S1_red_close,-20.00% on the day
GROWWPSE,S0_fund,ETF/index fund
MVELECTRO,S1_off_high,closed 4.6% off day high
BANARBEADS,S0_turnover,Rs 0.7 cr
ALOKINDS,S1_red_close,-6.65% on the day
ICICIAMC,S1_red_close,-4.03% on the day
SENSEXAXIS,S0_fund,ETF/index fund
KSHITIJ-RE,S0_series,BE
SHAHALLOYS,S0_turnover,Rs 1.8 cr
ALMONDZ,S0_turnover,Rs 1.2 cr
BURNPUR,S0_turnover,Rs 0.3 cr
NIRAJISPAT,S0_turnover,Rs 0.0 cr
NGIL,S0_turnover,Rs 0.5 cr
GCSL,S2_data,DATA UNAVAILABLE (244 bars)
MANAKSTEEL,S0_turnover,Rs 0.8 cr
FOSECOIND,S2_no_new_high,day high 6100.00 < 52w high 6846.00
APOLLOTYRE,S2_no_new_high,day high 444.40 < 52w high 540.50
BBTC,S2_no_new_high,day high 1639.00 < 52w high 2135.00
VISACHROME,S2_no_new_high,day high 37.85 < 52w high 73.68
BOMDYEING,S2_no_new_high,day high 116.68 < 52w high 195.45
KELLTONTEC,S2_no_new_high,day high 15.45 < 52w high 28.13
WHIRLPOOL,S2_data,"last bar 2026-08-26, not as-of date"
MOSCHIP,S2_no_new_high,day high 218.25 < 52w high 288.45
NSLNISP,S2_no_new_high,day high 45.48 < 52w high 53.75
AYE,S2_data,DATA UNAVAILABLE (134 bars)
TRAVELFOOD,S2_no_new_high,day high 1332.00 < 52w high 1470.90
JINDWORLD,S2_no_new_high,day high 36.90 < 52w high 42.40
SHAH,S2_no_new_high,day high 3.79 < 52w high 5.88
NATCAPSUQ,S2_no_new_high,day high 216.33 < 52w high 296.00
AASTHA,S2_data,DATA UNAVAILABLE (39 bars)
