symbol,stage,detail
MACPOWER,S1_red_close,-1.85% on the day
MAHASTEEL,S0_series,BE
MAHESHWARI,S0_series,BE
MAKERSL,S1_red_close,-2.34% on the day
MANIPALHOS,S1_base_short,base 5d — rolling high
MARC,S0_series,SM
MAXESTATES,S1_base_short,base 1d — rolling high
MEDICAPQ,S1_off_high,closed 7.1% off day high
MIIL,S1_base_short,base 7d — rolling high
MINALIND,S1_off_high,closed 3.2% off day high
MKEXIM,S1_base_short,base 5d — rolling high
MODISONLTD,S0_series,BE
MOLBIO,S1_base_short,base 1d — rolling high
MOMETAL,S0_fund,ETF/index fund
MONOLITH,S0_series,SM
NAHARINDUS,S1_red_close,-6.16% on the day
NICCOPAR,S1_base_short,base 1d — rolling high
NITINSPIN,S1_base_short,base 6d — rolling high
ONDOOR,S0_series,SM
OPTIFIN,S0_turnover,Rs 0.7 cr
OPTIVALUE,S0_series,ST
ORIRAIL,S1_base_short,base 4d — rolling high
PARNAXLAB,S1_base_short,base 5d — rolling high
PHOENXINTL,S1_off_high,closed 15.0% off day high
PITTIENG,S1_base_short,base 1d — rolling high
PRIMECAB,S0_series,ST
PRIZOR,S0_series,ST
PROPSHOP,S0_series,SM
PVP,S1_base_short,base 1d — rolling high
PVRINOX,S1_red_close,-0.23% on the day
RAMBHAJO,S1_red_close,-0.65% on the day
RAPIDFLEET,S0_series,SM
ROLLT,S0_series,BE
RSL,S1_red_close,-1.97% on the day
SAB,S1_red_close,-3.64% on the day
SERVICE,S0_series,SM
SETL,S1_base_short,base 5d — rolling high
SGMART,S1_base_short,base 1d — rolling high
SHANKESH,S1_red_close,-7.84% on the day
SHEETAL,S0_series,SM
SHILPAMED,S1_base_short,base 1d — rolling high
SHRIAHIMSA,S0_series,ST
SHRIPISTON,S1_red_close,-2.23% on the day
SIEMENS,S1_red_close,-0.57% on the day
SOMANYCERA,S1_red_close,-1.83% on the day
SRIKPRIND,S1_off_high,closed 11.0% off day high
SUNSHINE,S1_red_close,-6.79% on the day
SUPTANERY,S0_turnover,Rs 1.2 cr
TAURIAN,S0_series,SM
TFCILTD,S1_base_short,base 5d — rolling high
TI,S1_red_close,-0.69% on the day
TIIL,S1_red_close,-0.04% on the day
VALIANTLAB,S1_base_short,base 1d — rolling high
VINSYS,S0_series,ST
VIRAT,S1_red_close,-7.76% on the day
VTMLTD,S1_base_short,base 8d — rolling high
WELCORP,S1_red_close,-3.25% on the day
WELENT,S1_base_short,base 1d — rolling high
WELINV,S0_series,BE
FMGOETZE,S1_off_high,closed 5.2% off day high
FACT,S1_off_high,closed 5.0% off day high
ONIXSOLAR,S1_red_close,-4.99% on the day
ARVEE,S0_turnover,Rs 0.6 cr
NITCO,S1_red_close,-1.54% on the day
LICNMID100,S0_fund,ETF/index fund
ITADD,S0_fund,ETF/index fund
HPIL,S0_turnover,Rs 0.5 cr
INSUREIETF,S0_fund,ETF/index fund
STEELCITY,S0_turnover,Rs 1.3 cr
GANGAFORGE,S0_turnover,Rs 3.5 cr
RPTECH,S1_red_close,-9.23% on the day
ANSALBU,S0_turnover,Rs 0.0 cr
SHAH,S1_red_close,-19.80% on the day
TERAI,S0_turnover,Rs 0.0 cr
BTML,S0_turnover,Rs 2.2 cr
DUCON,S0_turnover,Rs 0.9 cr
QUINT,S0_turnover,Rs 0.1 cr
SAKUMA,S0_turnover,Rs 0.3 cr
GENUSPAPER,S0_turnover,Rs 0.3 cr
VGL,S0_turnover,Rs 0.7 cr
GLOBECIVIL,S0_turnover,Rs 1.0 cr
TARMAT,S0_turnover,Rs 0.5 cr
DTIL,S0_turnover,Rs 0.7 cr
INVENTURE,S0_turnover,Rs 0.2 cr
NEAGI,S2_data,DATA UNAVAILABLE (5 bars)
TIMEX,S2_data,DATA UNAVAILABLE (88 bars)
BOROLTD,S1_off_high,closed 9.5% off day high
MADRASFERT,S1_off_high,closed 3.0% off day high
PARADEEP,S2_no_new_high,day high 160.60 < 52w high 232.22
RCF,S1_off_high,closed 3.2% off day high
MEIL,S2_data,DATA UNAVAILABLE (247 bars)
NFL,S1_off_high,closed 4.0% off day high
ADVENTHTL,S2_data,DATA UNAVAILABLE (196 bars)
GODREJAGRO,S2_no_new_high,day high 625.00 < 52w high 769.70
GENESYS,S2_no_new_high,day high 214.25 < 52w high 647.90
SIGACHI,S2_no_new_high,day high 34.49 < 52w high 46.73
