symbol,stage,detail
LENSKART,S1_base_short,base 1d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LOKESHMACH,S1_off_high,closed 6.3% off day high
LOTUSCHO,S1_off_high,closed 3.1% off day high
LUMINO,S1_off_high,closed 6.5% off day high
MANAKSTEEL,S1_off_high,closed 4.1% off day high
MANALIPETC,S1_base_short,base 2d — rolling high
MANGLMCEM,S1_base_short,base 1d — rolling high
MANINDS,S1_base_short,base 7d — rolling high
MARINE,S1_red_close,-0.46% on the day
MBECL,S0_series,BE
MENONBE,S0_series,BE
MILKYMIST,S1_off_high,closed 6.0% off day high
MINALIND,S0_series,BE
MONOLITH,S0_series,SM
MOREPENLAB,S1_base_short,base 1d — rolling high
NIF500BETA,S0_fund,ETF/index fund
NILKAMAL,S1_base_short,base 7d — rolling high
NITINSPIN,S1_base_short,base 8d — rolling high
OAL,S1_base_short,base 6d — rolling high
OPTIFIN,S0_turnover,Rs 0.5 cr
ORIENTBELL,S1_base_short,base 2d — rolling high
PAR,S1_red_close,-2.94% on the day
PARNAXLAB,S1_red_close,-1.63% on the day
PARTH,S0_series,SM
PATILAUTOM,S0_series,SM
PAUSHAKLTD,S1_base_short,base 2d — rolling high
PCCL,S0_series,SM
PTCIL,S1_base_short,base 1d — rolling high
QLINE,S0_series,SM
RAYMOND,S1_base_short,base 1d — rolling high
RBLBANK,S1_base_short,base 10d — rolling high
RBZJEWEL,S1_base_short,base 1d — rolling high
RPEL,S1_base_short,base 3d — rolling high
SAHLIBHFI,S1_base_short,base 1d — rolling high
SAILIFE,S1_red_close,-0.50% on the day
SEAMECLTD,S1_base_short,base 1d — rolling high
SETL,S1_base_short,base 1d — rolling high
SHEETAL,S0_series,SM
SHERA,S0_series,SM
SHETHJI,S0_series,SM
SHILPAMED,S1_base_short,base 2d — rolling high
SHUKRAPHAR,S1_off_high,closed 5.3% off day high
SILKFLEX,S0_series,SM
SIMPLXREA,S1_base_short,base 3d — rolling high
SKFINDUS,S1_base_short,base 1d — rolling high
SOLARINDS,S1_base_short,base 6d — rolling high
SRIKPRIND,S1_base_short,base 1d — rolling high
SSWL,S1_base_short,base 2d — rolling high
STOVEKRAFT,S1_off_high,closed 3.6% off day high
SUDEEPPHRM,S1_base_short,base 1d — rolling high
SYNCOMF,S1_red_close,-0.47% on the day
TBZ,S1_base_short,base 1d — rolling high
TECHNOCRAF,S1_red_close,-1.06% on the day
TIJARIA,S0_turnover,Rs 0.6 cr
TMB,S1_base_short,base 3d — rolling high
TNPETRO,S1_off_high,closed 3.2% off day high
UPHOT,S0_turnover,Rs 0.1 cr
VIESL,S0_series,SM
VIJSOLX,S1_red_close,-0.69% on the day
VINDHYATEL,S1_base_short,base 1d — rolling high
VISHNU,S1_base_short,base 2d — rolling high
VIVIDEL,S0_series,SM
WELCORP,S1_base_short,base 1d — rolling high
WELENT,S1_base_short,base 1d — rolling high
WELSPUNLIV,S1_base_short,base 2d — rolling high
WINDLAS,S1_base_short,base 1d — rolling high
WSTCSTPAPR,S1_base_short,base 2d — rolling high
NIFTYBETF,S0_fund,ETF/index fund
NPBET,S0_fund,ETF/index fund
VISHAL,S1_red_close,-1.64% on the day
INDBANK,S0_turnover,Rs 2.1 cr
LAHOTIOV,S0_turnover,Rs 0.6 cr
BSL,S0_turnover,Rs 0.7 cr
RNBDENIMS,S0_turnover,Rs 3.5 cr
GILT5BETA,S0_fund,ETF/index fund
BBNPPGOLD,S0_fund,ETF/index fund
HEXT,S1_red_close,-2.13% on the day
SVGLOBAL,S0_turnover,Rs 0.2 cr
COMPEAU,S0_turnover,Rs 0.5 cr
SALASAR,S1_red_close,-7.08% on the day
AUTOIND,S1_off_high,closed 5.0% off day high
RUCHINFRA,S0_turnover,Rs 0.4 cr
VHLTD-RE1,S0_series,BE
AKI,S0_turnover,Rs 0.8 cr
AEPL,S0_turnover,Rs 0.5 cr
SAICAPI,S0_turnover,Rs 0.0 cr
ALPINETEX,S1_off_high,closed 3.5% off day high
AMBICAAGAR,S0_turnover,Rs 0.2 cr
ICDSLTD,S0_turnover,Rs 0.7 cr
VASUPRADA,S2_data,DATA UNAVAILABLE (13 bars)
GOCLCORP,S1_off_high,closed 5.6% off day high
BFUTILITIE,S1_off_high,closed 7.1% off day high
HIKAL,S2_no_new_high,day high 240.72 < 52w high 282.70
ELECON,S1_off_high,closed 4.6% off day high
ANANTRAJ,S2_no_new_high,day high 640.25 < 52w high 743.65
BRIGADE,S2_no_new_high,day high 733.00 < 52w high 802.01
KIRIINDUS,S2_no_new_high,day high 591.20 < 52w high 779.00
