symbol,stage,detail
PARAGON,S0_series,SM
PARTH,S0_series,SM
PCCL,S0_series,SM
PENTAGON,S0_series,SM
PKTEA,S1_off_high,closed 12.8% off day high
PODDARMENT,S1_off_high,closed 5.8% off day high
PPLPHARMA,S1_base_short,base 1d — rolling high
PRABHA,S1_base_short,base 4d — rolling high
PRAMODINI,S0_series,SM
RAYMOND,S1_base_short,base 1d — rolling high
RBLBANK,S1_base_short,base 1d — rolling high
RISHABH,S1_base_short,base 1d — rolling high
RML,S1_base_short,base 1d — rolling high
ROLLT,S0_series,BE
ROSSTECH,S1_base_short,base 1d — rolling high
RSL,S1_base_short,base 1d — rolling high
SAAKSHI,S0_series,ST
SAB,S1_red_close,-0.05% on the day
SAILIFE,S1_base_short,base 5d — rolling high
SAKAR,S1_base_short,base 1d — rolling high
SANSERA,S1_base_short,base 7d — rolling high
SEL,S0_series,SM
SGRL,S1_red_close,-0.88% on the day
SHANTIGEAR,S1_base_short,base 1d — rolling high
SHANTIINOR,S0_series,ST
SHETHJI,S0_series,SM
SHREEJISPG,S1_red_close,-0.53% on the day
SHREEPUSHK,S1_red_close,-1.23% on the day
SHUKRAPHAR,S1_off_high,closed 3.3% off day high
SOLARINDS,S1_base_short,base 1d — rolling high
SREEL,S1_base_short,base 1d — rolling high
STLTECH,S0_series,BE
SUNSHIEL,S1_red_close,-1.07% on the day
SUNSHINE,S1_base_short,base 1d — rolling high
SWARNSAR,S1_off_high,closed 5.8% off day high
SYRMA,S1_base_short,base 1d — rolling high
TAMBOLIIN,S0_series,BE
TBZ,S1_base_short,base 1d — rolling high
TECHNOCRAF,S1_base_short,base 1d — rolling high
TNPETRO,S1_off_high,closed 4.7% off day high
UDAYJEW,S1_red_close,-0.94% on the day
UNIVPHOTO,S0_series,BE
UWCSL,S0_series,SM
VALIANTLAB,S0_series,BE
VIGOR,S0_series,SM
VILINBIO,S0_series,SM
VIVIDEL,S0_series,SM
WSTCSTPAPR,S1_red_close,-1.43% on the day
XTRANET,S1_red_close,-4.94% on the day
YUKEN,S1_off_high,closed 3.6% off day high
ARVEE,S0_turnover,Rs 1.1 cr
NIFTY1,S0_fund,ETF/index fund
ALKALI,S0_turnover,Rs 4.7 cr
SELMC,S0_turnover,Rs 0.4 cr
HECPROJECT,S0_turnover,Rs 1.9 cr
MGEL,S1_red_close,-1.40% on the day
INNOVANA,S0_turnover,Rs 1.0 cr
RUSTOMJEE,S1_red_close,-2.18% on the day
GSPCROP,S1_red_close,-12.16% on the day
BAIDFIN,S0_turnover,Rs 1.3 cr
GKB,S2_data,DATA UNAVAILABLE (20 bars)
NOVARTIND,S2_data,DATA UNAVAILABLE (104 bars)
ATLASCYCLE,S2_no_new_high,day high 113.38 < 52w high 134.98
SYMPHONY,S1_off_high,closed 6.1% off day high
ASTEC,S2_no_new_high,day high 662.80 < 52w high 941.75
INDOFARM,S1_off_high,closed 4.0% off day high
SFL,S1_off_high,closed 4.4% off day high
GARUDA,S1_off_high,closed 7.4% off day high
TCC,S2_data,DATA UNAVAILABLE (132 bars)
AGL,S2_data,DATA UNAVAILABLE (48 bars)
JAYAGROGN,S2_no_new_high,day high 256.00 < 52w high 256.80
GENESYS,S2_no_new_high,day high 288.19 < 52w high 644.95
UTKARSHBNK,S1_off_high,closed 4.9% off day high
